term,level1_candidate,decision,reason,confidence,notes_examples,level1_name,confidence_label,denomination_occurrences,primary_groups,occupations,standalone_title,first_token_ratio,in_official_occupation_name,in_official_primary_group_name,original_forms
contralmirante,0,keep,Término inequívoco del dominio del nivel y respaldado por denominaciones CUOC del archivo fuente.,0.96,Contralmirante | Contralmirante de la armada nacional,Ocupaciones de las fuerzas militares,high,2,1,1,True,1.0,False,False,Contralmirante
guardiamarina,0,keep,Término inequívoco del dominio del nivel y respaldado por denominaciones CUOC del archivo fuente.,0.96,Guardiamarina,Ocupaciones de las fuerzas militares,high,1,1,1,True,1.0,False,False,Guardiamarina
militares,0,keep,Término inequívoco del dominio del nivel y respaldado por denominaciones CUOC del archivo fuente.,0.96,Oficial fuerzas militares | Comandante general de las fuerzas militares | Jefe de estado mayor conjunto de las fuerzas militares,Ocupaciones de las fuerzas militares,high,4,2,2,False,0.0,True,True,militares
vicealmirante,0,keep,Término inequívoco del dominio del nivel y respaldado por denominaciones CUOC del archivo fuente.,0.96,Vicealmirante | Vicealmirante de la armada nacional,Ocupaciones de las fuerzas militares,high,2,1,1,True,1.0,False,False,Vicealmirante
tercero,0,drop,Término genérico o engañoso en este nivel; su presencia aislada puede producir falsos positivos.,0.96,Cabo tercero de infantería de marina | Cabo tercero del ejército nacional | Suboficial tercero de la armada nacional,Ocupaciones de las fuerzas militares,high,4,1,1,False,0.0,False,False,tercero
comando,0,review,"Término técnico o sectorial repetido, pero funciona como especialidad, objeto, proceso o contexto y puede cruzar niveles.",0.68,Sargento mayor de comando conjunto de infantería de marina | Sargento mayor de comando conjunto del ejército nacional | Sargento mayor de comando de infantería de marina,Ocupaciones de las fuerzas militares,medium,8,1,1,False,0.0,False,False,comando
subjefe,0,review,Aparece en un contexto CUOC limitado y no como núcleo del cargo; falta evidencia para mantenerlo o descartarlo automáticamente.,0.55,Técnico subjefe de la fuerza aérea,Ocupaciones de las fuerzas militares,low,1,1,1,False,0.0,False,False,subjefe
alumno,0,drop,Término genérico o engañoso en este nivel; su presencia aislada puede producir falsos positivos.,0.96,Alumno de infantería de marina,Ocupaciones de las fuerzas militares,high,1,1,1,False,1.0,False,False,Alumno
bombardero,0,review,"Puede funcionar como título ocupacional, pero aislado es polisémico o demasiado transversal; conviene revisar falsos positivos.",0.62,Bombardero,Ocupaciones de las fuerzas militares,low,1,1,1,True,1.0,False,False,Bombardero
infante,0,review,"Puede funcionar como título ocupacional, pero aislado es polisémico o demasiado transversal; conviene revisar falsos positivos.",0.62,Infante de marina | Infante de marina profesional | Infante de marina regular,Ocupaciones de las fuerzas militares,low,3,1,1,False,1.0,False,False,Infante
regular,0,drop,Término genérico o engañoso en este nivel; su presencia aislada puede producir falsos positivos.,0.96,Infante de marina regular | Soldado regular | Soldado regular del ejército nacional,Ocupaciones de las fuerzas militares,high,4,1,1,False,0.0,False,False,regular
soldado,0,keep,Término inequívoco del dominio del nivel y respaldado por denominaciones CUOC del archivo fuente.,0.96,Soldado | Soldado bachiller | Soldado campesino,Ocupaciones de las fuerzas militares,high,13,1,1,True,1.0,False,False,Soldado
campesino,0,drop,Término genérico o engañoso en este nivel; su presencia aislada puede producir falsos positivos.,0.96,Soldado campesino,Ocupaciones de las fuerzas militares,high,1,1,1,False,0.0,False,False,campesino
recluta,0,keep,Término inequívoco del dominio del nivel y respaldado por denominaciones CUOC del archivo fuente.,0.96,Soldado recluta,Ocupaciones de las fuerzas militares,high,1,1,1,False,0.0,False,False,recluta
alcalde,1,keep,Término inequívoco del dominio del nivel y respaldado por denominaciones CUOC del archivo fuente.,0.96,Alcalde,Directores y gerentes,high,1,1,1,True,1.0,False,False,Alcalde
canciller,1,keep,Término inequívoco del dominio del nivel y respaldado por denominaciones CUOC del archivo fuente.,0.96,Canciller,Directores y gerentes,high,1,1,1,True,1.0,False,False,Canciller
concejal,1,keep,Término inequívoco del dominio del nivel y respaldado por denominaciones CUOC del archivo fuente.,0.96,Concejal,Directores y gerentes,high,1,1,1,True,1.0,False,False,Concejal
congresista,1,keep,Término inequívoco del dominio del nivel y respaldado por denominaciones CUOC del archivo fuente.,0.96,Congresista,Directores y gerentes,high,1,1,1,True,1.0,False,False,Congresista
diputado,1,keep,Título ocupacional explícito: aparece como denominación independiente y/o como núcleo inicial del cargo.,0.91,Diputado,Directores y gerentes,high,1,1,1,True,1.0,False,False,Diputado
edil,1,keep,Término inequívoco del dominio del nivel y respaldado por denominaciones CUOC del archivo fuente.,0.96,Edil,Directores y gerentes,high,1,1,1,True,1.0,False,False,Edil
gobernador,1,keep,Título ocupacional explícito: aparece como denominación independiente y/o como núcleo inicial del cargo.,0.95,Gobernador | Gobernador de departamento | Gobernador de comunidad indígena,Directores y gerentes,high,3,2,2,True,1.0,False,False,Gobernador
legislador,1,keep,Título ocupacional explícito: aparece como denominación independiente y/o como núcleo inicial del cargo.,0.91,Legislador,Directores y gerentes,high,1,1,1,True,1.0,False,False,Legislador
miembro,1,review,"Puede funcionar como título ocupacional, pero aislado es polisémico o demasiado transversal; conviene revisar falsos positivos.",0.62,Miembro de gobiernos locales | Miembro de la asamblea legislativa | Miembro del consejo legislativo,Directores y gerentes,low,7,1,1,False,1.0,False,False,Miembro
gobiernos,1,review,Aparece en un contexto CUOC limitado y no como núcleo del cargo; falta evidencia para mantenerlo o descartarlo automáticamente.,0.55,Miembro de gobiernos locales,Directores y gerentes,low,1,1,1,False,0.0,False,False,gobiernos
locales,1,drop,"Palabra genérica, institucional o modificadora; la exclusividad en el catálogo no implica exclusividad semántica.",0.93,Miembro de gobiernos locales,Directores y gerentes,high,1,1,1,False,0.0,False,False,locales
asamblea,1,drop,"Palabra genérica, institucional o modificadora; la exclusividad en el catálogo no implica exclusividad semántica.",0.93,Miembro de la asamblea legislativa,Directores y gerentes,high,1,1,1,False,0.0,False,False,asamblea
legislativa,1,review,Aparece en un contexto CUOC limitado y no como núcleo del cargo; falta evidencia para mantenerlo o descartarlo automáticamente.,0.55,Miembro de la asamblea legislativa,Directores y gerentes,low,1,1,1,False,0.0,False,False,legislativa
consejo,1,drop,"Palabra genérica, institucional o modificadora; la exclusividad en el catálogo no implica exclusividad semántica.",0.93,Miembro del consejo legislativo,Directores y gerentes,high,1,1,1,False,0.0,False,False,consejo
exteriores,1,review,Aparece en un contexto CUOC limitado y no como núcleo del cargo; falta evidencia para mantenerlo o descartarlo automáticamente.,0.55,Ministro de relaciones exteriores,Directores y gerentes,low,1,1,1,False,0.0,False,False,exteriores
republica,1,review,"Término técnico o sectorial repetido, pero funciona como especialidad, objeto, proceso o contexto y puede cruzar niveles.",0.68,Presidente de la república | Vicepresidente de la república | Contralor general de la república,Directores y gerentes,medium,4,2,2,False,0.0,False,False,república
senador,1,keep,Título ocupacional explícito: aparece como denominación independiente y/o como núcleo inicial del cargo.,0.91,Senador,Directores y gerentes,high,1,1,1,True,1.0,False,False,Senador
viceministro,1,keep,Término inequívoco del dominio del nivel y respaldado por denominaciones CUOC del archivo fuente.,0.96,Viceministro de gobierno,Directores y gerentes,high,1,1,1,False,1.0,False,False,Viceministro
vicepresidente,1,keep,Término inequívoco del dominio del nivel y respaldado por denominaciones CUOC del archivo fuente.,0.96,Vicepresidente de la república | Vicepresidente banca corporativa | Vicepresidente de cadena de hoteles,Directores y gerentes,high,49,8,10,False,1.0,False,False,Vicepresidente
comisionado,1,review,"Término técnico o sectorial repetido, pero funciona como especialidad, objeto, proceso o contexto y puede cruzar niveles.",0.68,Alto comisionado | Comisionado de bomberos | Comisionado de la función pública,Directores y gerentes,medium,3,1,1,False,0.667,False,False,"Comisionado, comisionado"
consul,1,keep,Término inequívoco del dominio del nivel y respaldado por denominaciones CUOC del archivo fuente.,0.96,Cónsul,Directores y gerentes,high,1,1,1,True,1.0,False,False,Cónsul
nacion,1,review,"Término técnico o sectorial repetido, pero funciona como especialidad, objeto, proceso o contexto y puede cruzar niveles.",0.68,Contador general de la nación | Contralor general de la nación | Fiscal general de la nación,Directores y gerentes,medium,5,1,1,False,0.0,False,False,nación
gubernamentales,1,drop,"Palabra genérica, institucional o modificadora; la exclusividad en el catálogo no implica exclusividad semántica.",0.93,Director aduana servicios gubernamentales | Director de programas de desarrollo económico de servicios gubernamentales | Director de programas de política educativa de servicios gubernamentales,Directores y gerentes,high,9,3,3,False,0.0,False,False,gubernamentales
ministerio,1,review,Aparece en un contexto CUOC limitado y no como núcleo del cargo; falta evidencia para mantenerlo o descartarlo automáticamente.,0.55,Director ejecutivo administración pública ministerio,Directores y gerentes,low,1,1,1,False,0.0,False,False,ministerio
cancilleria,1,review,Aparece en un contexto CUOC limitado y no como núcleo del cargo; falta evidencia para mantenerlo o descartarlo automáticamente.,0.55,Director ejecutivo de cancillería,Directores y gerentes,low,1,1,1,False,0.0,False,False,cancillería
intergubernamental,1,review,Aparece en un contexto CUOC limitado y no como núcleo del cargo; falta evidencia para mantenerlo o descartarlo automáticamente.,0.55,Director general de organización intergubernamental,Directores y gerentes,low,1,1,1,False,0.0,False,False,intergubernamental
embajador,1,keep,Título ocupacional explícito: aparece como denominación independiente y/o como núcleo inicial del cargo.,0.91,Embajador,Directores y gerentes,high,1,1,1,True,1.0,False,False,Embajador
directivo,1,review,Aparece en un contexto CUOC limitado y no como núcleo del cargo; falta evidencia para mantenerlo o descartarlo automáticamente.,0.55,Personal directivo de la administración pública,Directores y gerentes,low,1,1,1,False,0.0,False,False,directivo
personero,1,keep,Título ocupacional explícito: aparece como denominación independiente y/o como núcleo inicial del cargo.,0.91,Personero,Directores y gerentes,high,1,1,1,True,1.0,False,False,Personero
subsecretario,1,keep,Término inequívoco del dominio del nivel y respaldado por denominaciones CUOC del archivo fuente.,0.96,Subsecretario de gobierno,Directores y gerentes,high,1,1,1,False,1.0,False,False,Subsecretario
vicecontralor,1,keep,Título ocupacional explícito: aparece como denominación independiente y/o como núcleo inicial del cargo.,0.91,Vicecontralor,Directores y gerentes,high,1,1,1,True,1.0,False,False,Vicecontralor
indigena,1,review,"Término técnico o sectorial repetido, pero funciona como especialidad, objeto, proceso o contexto y puede cruzar niveles.",0.68,Gobernador de comunidad indígena | Jefe de comunidad indígena | Jefe de etnia indígena,Directores y gerentes,medium,3,1,1,False,0.0,False,False,indígena
etnia,1,review,Aparece en un contexto CUOC limitado y no como núcleo del cargo; falta evidencia para mantenerlo o descartarlo automáticamente.,0.55,Jefe de etnia indígena,Directores y gerentes,low,1,1,1,False,0.0,False,False,etnia
defensor,1,review,"Puede funcionar como título ocupacional, pero aislado es polisémico o demasiado transversal; conviene revisar falsos positivos.",0.62,Defensor del pueblo,Directores y gerentes,low,1,1,1,False,1.0,False,False,Defensor
asociacion,1,drop,"Palabra genérica, institucional o modificadora; la exclusividad en el catálogo no implica exclusividad semántica.",0.93,Director asociación de profesionales | Director asociación deportiva | Director ejecutivo asociación de profesionales,Directores y gerentes,high,6,1,1,False,0.0,False,False,asociación
partido,1,review,"Término técnico o sectorial repetido, pero funciona como especialidad, objeto, proceso o contexto y puede cruzar niveles.",0.68,Director de partido político | Dirigente de partido político | Líder de partido político,Directores y gerentes,medium,5,1,1,False,0.0,False,False,partido
membrecia,1,review,Aparece en un contexto CUOC limitado y no como núcleo del cargo; falta evidencia para mantenerlo o descartarlo automáticamente.,0.55,Director ejecutivo de organización de membrecía | Director general de organización de membrecía,Directores y gerentes,low,2,1,1,False,0.0,False,False,membrecía
voluntariado,1,review,Aparece en un contexto CUOC limitado y no como núcleo del cargo; falta evidencia para mantenerlo o descartarlo automáticamente.,0.55,Director ejecutivo de organización voluntariado,Directores y gerentes,low,1,1,1,False,0.0,False,False,voluntariado
empleadores,1,review,"Término técnico o sectorial repetido, pero funciona como especialidad, objeto, proceso o contexto y puede cruzar niveles.",0.68,Director general de organización de empleadores | Dirigente de organización de empleadores | Secretario general de organización de empleadores,Directores y gerentes,medium,3,1,1,False,0.0,False,False,empleadores
humanitaria,1,review,"Término técnico o sectorial repetido, pero funciona como especialidad, objeto, proceso o contexto y puede cruzar niveles.",0.68,Director general de organización humanitaria | Dirigente de organización humanitaria | Presidente de organización humanitaria,Directores y gerentes,medium,4,1,1,False,0.0,False,False,humanitaria
membresia,1,review,"Término técnico o sectorial repetido, pero funciona como especialidad, objeto, proceso o contexto y puede cruzar niveles.",0.68,Director general organización de membresía | Vicepresidente de recursos humanos entidades de salud educación y organizaciones de membresía | Vicepresidente financiero y administrativo entidades de salud educación y organizaciones de membresía,Directores y gerentes,medium,3,2,2,False,0.0,False,False,membresía
dirigente,1,keep,Término inequívoco del dominio del nivel y respaldado por denominaciones CUOC del archivo fuente.,0.96,Dirigente de organización de empleadores | Dirigente de organización humanitaria | Dirigente de organización sindical,Directores y gerentes,high,4,1,1,False,1.0,False,False,Dirigente
sindical,1,review,"Término técnico o sectorial repetido, pero funciona como especialidad, objeto, proceso o contexto y puede cruzar niveles.",0.68,Dirigente de organización sindical | Presidente de organización sindical | Secretario general de organización sindical,Directores y gerentes,medium,3,1,1,False,0.0,False,False,sindical
cientifica,1,drop,"Palabra genérica, institucional o modificadora; la exclusividad en el catálogo no implica exclusividad semántica.",0.93,Presidente de asociación científica | Director de consultoría científica,Directores y gerentes,high,2,2,2,False,0.0,False,False,científica
gremial,1,review,Aparece en un contexto CUOC limitado y no como núcleo del cargo; falta evidencia para mantenerlo o descartarlo automáticamente.,0.55,Presidente de organización gremial,Directores y gerentes,low,1,1,1,False,0.0,False,False,gremial
sindicato,1,review,Aparece en un contexto CUOC limitado y no como núcleo del cargo; falta evidencia para mantenerlo o descartarlo automáticamente.,0.55,Presidente de sindicato,Directores y gerentes,low,1,1,1,False,0.0,False,False,sindicato
comercios,1,review,"Aparece en el nombre oficial de una ocupación o grupo primario, pero funciona como especialidad o contexto y puede cruzar niveles.",0.74,Director ejecutivo empresas de comercios medios de comunicación,Directores y gerentes,medium,1,1,1,False,0.0,True,True,comercios
manufactureras,1,review,"Aparece en el nombre oficial de una ocupación o grupo primario, pero funciona como especialidad o contexto y puede cruzar niveles.",0.74,Director general empresas manufactureras de construcción y transporte | Director general ventas empresas manufactureras de construcción y transporte | Gerente general empresas manufactureras de construcción y transporte,Directores y gerentes,medium,8,2,2,False,0.0,True,True,manufactureras
penitenciaria,1,review,Aparece en un contexto CUOC limitado y no como núcleo del cargo; falta evidencia para mantenerlo o descartarlo automáticamente.,0.55,Director general institución penitenciaria,Directores y gerentes,low,1,1,1,False,0.0,False,False,penitenciaria
constructora,1,review,"Término técnico o sectorial repetido, pero funciona como especialidad, objeto, proceso o contexto y puede cruzar niveles.",0.68,Gerente general de compañía constructora | Presidente de compañía constructora | Vicepresidente de compañía constructora,Directores y gerentes,medium,4,2,2,False,0.0,False,False,constructora
fiduciaria,1,review,"Término técnico o sectorial repetido, pero funciona como especialidad, objeto, proceso o contexto y puede cruzar niveles.",0.68,Gerente general de compañía fiduciaria | Gerente inversión fiduciaria | Jefe de sección de fiduciaria,Directores y gerentes,medium,3,2,2,False,0.0,False,False,fiduciaria
corporativa,1,drop,Término genérico o engañoso en este nivel; su presencia aislada puede producir falsos positivos.,0.96,Vicepresidente banca corporativa,Directores y gerentes,high,1,1,1,False,0.0,False,False,corporativa
organizaciones,1,drop,"Palabra genérica, institucional o modificadora; la exclusividad en el catálogo no implica exclusividad semántica.",0.93,Vicepresidente de recursos humanos entidades de salud educación y organizaciones de membresía | Vicepresidente financiero y administrativo entidades de salud educación y organizaciones de membresía,Directores y gerentes,high,2,1,1,False,0.0,True,True,organizaciones
vicerrector,1,keep,Término inequívoco del dominio del nivel y respaldado por denominaciones CUOC del archivo fuente.,0.96,Vicerrector académico de universidad | Vicerrector colegio | Vicerrector de institución educativa,Directores y gerentes,high,3,2,2,False,1.0,False,False,Vicerrector
firma,1,review,"Término técnico o sectorial repetido, pero funciona como especialidad, objeto, proceso o contexto y puede cruzar niveles.",0.68,Gerente de firma de auditoría financiera | Gerente de firma de contadores | Gerente firma de ingeniería,Directores y gerentes,medium,4,3,3,False,0.0,False,False,firma
estadisticos,1,review,"Término técnico o sectorial repetido, pero funciona como especialidad, objeto, proceso o contexto y puede cruzar niveles.",0.68,Gerente de operaciones de servicios estadísticos financieros | Gerente de empresa de servicios estadísticos | Gerente servicios estadísticos,Directores y gerentes,medium,3,2,2,False,0.0,False,False,estadísticos
subgerente,1,keep,Término inequívoco del dominio del nivel y respaldado por denominaciones CUOC del archivo fuente.,0.96,Subgerente administrativo y financiero | Subgerente financiero | Subgerente comercial de banca personal,Directores y gerentes,high,9,5,6,False,1.0,False,False,Subgerente
pagador,1,review,Aparece en un contexto CUOC limitado y no como núcleo del cargo; falta evidencia para mantenerlo o descartarlo automáticamente.,0.55,Tesorero pagador,Directores y gerentes,low,1,1,1,False,0.0,False,False,pagador
intermediacion,1,review,Aparece en un contexto CUOC limitado y no como núcleo del cargo; falta evidencia para mantenerlo o descartarlo automáticamente.,0.55,Gerente de empresa de servicios de intermediación financiera,Directores y gerentes,low,1,1,1,False,0.0,False,False,intermediación
portafolio,1,review,Aparece en un contexto CUOC limitado y no como núcleo del cargo; falta evidencia para mantenerlo o descartarlo automáticamente.,0.55,Administrador portafolio de inversiones | Jefe de departamento de portafolio de inversiones financiera,Directores y gerentes,low,2,1,1,False,0.0,False,False,portafolio
tarjeta,1,review,Aparece en un contexto CUOC limitado y no como núcleo del cargo; falta evidencia para mantenerlo o descartarlo automáticamente.,0.55,Director de departamento de operaciones servicios tarjeta crédito | Director servicios tarjeta de crédito,Directores y gerentes,low,2,1,1,False,0.0,False,False,tarjeta
bancarias,1,review,Aparece en un contexto CUOC limitado y no como núcleo del cargo; falta evidencia para mantenerlo o descartarlo automáticamente.,0.55,Director de operaciones bancarias,Directores y gerentes,low,1,1,1,False,0.0,False,False,bancarias
corporacion,1,drop,"Palabra genérica, institucional o modificadora; la exclusividad en el catálogo no implica exclusividad semántica.",0.93,Gerente corporación financiera,Directores y gerentes,high,1,1,1,False,0.0,False,False,corporación
hipotecario,1,review,Aparece en un contexto CUOC limitado y no como núcleo del cargo; falta evidencia para mantenerlo o descartarlo automáticamente.,0.55,Gerente de crédito hipotecario,Directores y gerentes,low,1,1,1,False,0.0,False,False,hipotecario
bancaria,1,review,"Término técnico o sectorial repetido, pero funciona como especialidad, objeto, proceso o contexto y puede cruzar niveles.",0.68,Gerente inversión bancaria | Gerente de sucursal bancaria | Subgerente de oficina bancaria,Directores y gerentes,medium,3,2,2,False,0.0,False,False,bancaria
compensacion,1,review,Aparece en un contexto CUOC limitado y no como núcleo del cargo; falta evidencia para mantenerlo o descartarlo automáticamente.,0.55,Jefe de compensación y beneficios,Directores y gerentes,low,1,1,1,False,0.0,False,False,compensación
locativo,1,review,Aparece en un contexto CUOC limitado y no como núcleo del cargo; falta evidencia para mantenerlo o descartarlo automáticamente.,0.55,Jefe de mantenimiento locativo,Directores y gerentes,low,1,1,1,False,0.0,False,False,locativo
corporativos,1,drop,Término genérico o engañoso en este nivel; su presencia aislada puede producir falsos positivos.,0.96,Director de servicios corporativos,Directores y gerentes,high,1,1,1,False,0.0,False,False,corporativos
subdirector,1,keep,Término inequívoco del dominio del nivel y respaldado por denominaciones CUOC del archivo fuente.,0.96,Subdirector administrativo | Subdirector científico | Subdirector de diseño,Directores y gerentes,high,7,6,6,False,1.0,False,False,Subdirector
operacional,1,review,"Término técnico o sectorial repetido, pero funciona como especialidad, objeto, proceso o contexto y puede cruzar niveles.",0.68,Director de seguridad operacional aeronáutica | Director de planificación operacional,Directores y gerentes,medium,2,2,2,False,0.0,False,False,operacional
maritimos,1,review,Aparece en un contexto CUOC limitado y no como núcleo del cargo; falta evidencia para mantenerlo o descartarlo automáticamente.,0.55,Director comercial de servicios portuarios y marítimos,Directores y gerentes,low,1,1,1,False,0.0,False,False,marítimos
aduaneras,1,review,Aparece en un contexto CUOC limitado y no como núcleo del cargo; falta evidencia para mantenerlo o descartarlo automáticamente.,0.55,Jefe de operaciones aduaneras,Directores y gerentes,low,1,1,1,False,0.0,False,False,aduaneras
vocero,1,review,"Puede funcionar como título ocupacional, pero aislado es polisémico o demasiado transversal; conviene revisar falsos positivos.",0.62,Vocero oficial,Directores y gerentes,low,1,1,1,False,1.0,False,False,Vocero
consultoria,1,review,"Término técnico o sectorial repetido, pero funciona como especialidad, objeto, proceso o contexto y puede cruzar niveles.",0.68,Director de consultoría científica | Gerente servicios de consultoría,Directores y gerentes,medium,2,2,2,False,0.0,False,False,consultoría
industrias,1,review,"Aparece en el nombre oficial de una ocupación o grupo primario, pero funciona como especialidad o contexto y puede cruzar niveles.",0.74,Director técnico de industrias cosméticas | Director técnico de industrias farmacéuticas,Directores y gerentes,medium,2,1,1,False,0.0,True,True,industrias
cosmeticas,1,review,Aparece en un contexto CUOC limitado y no como núcleo del cargo; falta evidencia para mantenerlo o descartarlo automáticamente.,0.55,Director técnico de industrias cosméticas,Directores y gerentes,low,1,1,1,False,0.0,False,False,cosméticas
farmaceuticas,1,review,Aparece en un contexto CUOC limitado y no como núcleo del cargo; falta evidencia para mantenerlo o descartarlo automáticamente.,0.55,Director técnico de industrias farmacéuticas,Directores y gerentes,low,1,1,1,False,0.0,False,False,farmacéuticas
silvicola,1,review,Aparece en un contexto CUOC limitado y no como núcleo del cargo; falta evidencia para mantenerlo o descartarlo automáticamente.,0.55,Gerente de aprovechamiento silvícola | Gerente explotación silvícola,Directores y gerentes,low,2,1,1,False,0.0,False,False,silvícola
arrastrero,1,review,Aparece en un contexto CUOC limitado y no como núcleo del cargo; falta evidencia para mantenerlo o descartarlo automáticamente.,0.55,Director de arrastrero,Directores y gerentes,low,1,1,1,False,0.0,False,False,arrastrero
integrada,1,review,Aparece en un contexto CUOC limitado y no como núcleo del cargo; falta evidencia para mantenerlo o descartarlo automáticamente.,0.55,Jefe operación integrada transmisión y distribución energía,Directores y gerentes,low,1,1,1,False,0.0,False,False,integrada
procesamieno,1,review,Aparece en un contexto CUOC limitado y no como núcleo del cargo; falta evidencia para mantenerlo o descartarlo automáticamente.,0.55,Jefe de planta de procesamieno de pescado,Directores y gerentes,low,1,1,1,False,0.0,False,False,procesamieno
demoliciones,1,review,Aparece en un contexto CUOC limitado y no como núcleo del cargo; falta evidencia para mantenerlo o descartarlo automáticamente.,0.55,Gerente de demoliciones,Directores y gerentes,low,1,1,1,False,0.0,False,False,demoliciones
sociedad,1,review,Aparece en un contexto CUOC limitado y no como núcleo del cargo; falta evidencia para mantenerlo o descartarlo automáticamente.,0.55,Gerente de sociedad de construcción | Gerente de sucursal de sociedad de construcción,Directores y gerentes,low,2,1,1,False,0.0,False,False,sociedad
sucursal,1,review,"Término técnico o sectorial repetido, pero funciona como especialidad, objeto, proceso o contexto y puede cruzar niveles.",0.68,Gerente de sucursal de sociedad de construcción | Gerente de sucursal bancaria | Gerente de sucursal de compañía de seguros,Directores y gerentes,medium,7,3,3,False,0.0,False,False,sucursal
encomienda,1,review,Aparece en un contexto CUOC limitado y no como núcleo del cargo; falta evidencia para mantenerlo o descartarlo automáticamente.,0.55,Gerente servicios de encomienda,Directores y gerentes,low,1,1,1,False,0.0,False,False,encomienda
postales,1,review,Aparece en un contexto CUOC limitado y no como núcleo del cargo; falta evidencia para mantenerlo o descartarlo automáticamente.,0.55,Jefe de oficina de servicios postales | Jefe servicios postales,Directores y gerentes,low,2,1,1,False,0.0,False,False,postales
buses,1,review,Aparece en un contexto CUOC limitado y no como núcleo del cargo; falta evidencia para mantenerlo o descartarlo automáticamente.,0.55,Director de estación de buses,Directores y gerentes,low,1,1,1,False,0.0,False,False,buses
fletes,1,review,Aparece en un contexto CUOC limitado y no como núcleo del cargo; falta evidencia para mantenerlo o descartarlo automáticamente.,0.55,Director de operaciones de departamento de fletes | Gerente de operaciones de departamento de fletes,Directores y gerentes,low,2,1,1,False,0.0,False,False,fletes
division,1,review,Aparece en un contexto CUOC limitado y no como núcleo del cargo; falta evidencia para mantenerlo o descartarlo automáticamente.,0.55,Gerente de división de embarques,Directores y gerentes,low,1,1,1,False,0.0,False,False,división
embarques,1,review,Aparece en un contexto CUOC limitado y no como núcleo del cargo; falta evidencia para mantenerlo o descartarlo automáticamente.,0.55,Gerente de división de embarques,Directores y gerentes,low,1,1,1,False,0.0,False,False,embarques
inversa,1,review,Aparece en un contexto CUOC limitado y no como núcleo del cargo; falta evidencia para mantenerlo o descartarlo automáticamente.,0.55,Gerente de logística inversa,Directores y gerentes,low,1,1,1,False,0.0,False,False,inversa
terminal,1,review,Aparece en un contexto CUOC limitado y no como núcleo del cargo; falta evidencia para mantenerlo o descartarlo automáticamente.,0.55,Gerente de terminal de transporte,Directores y gerentes,low,1,1,1,False,0.0,False,False,terminal
