term,level1_candidate,id,count,levels,Pamela v1,Alex_v1,Andres,Alex_v2,Pamela v2,sum,manual_keep,decision,reason,confidence,notes_examples,level1_name,confidence_label,denomination_occurrences,primary_groups,occupations,standalone_title,first_token_ratio,in_official_occupation_name,in_official_primary_group_name,original_forms,semantic_keep,semantic_drop,semantic_review_flag,manual_keep_flag,semantic_keep_flag,agreed,high_conflict
asador,5,3805,1,5,1,1,0,1,1,2,TRUE,review,Aparece en un contexto CUOC limitado y no como núcleo del cargo; falta evidencia para mantenerlo o descartarlo automáticamente.,0.55,Parrillero asador carnes,Trabajadores de los servicios y vendedores de comercios y mercados,low,1,1,1,FALSE,0,FALSE,FALSE,asador,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
ascensorista,9,6003,1,9,0,1,1,1,1,3,TRUE,keep,Título ocupacional explícito: aparece como denominación independiente y/o como núcleo inicial del cargo.,0.91,Ascensorista,Ocupaciones elementales,high,1,1,1,TRUE,1,FALSE,FALSE,Ascensorista,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE
aseadores,5,3861,1,5,1,1,1,1,1,3,TRUE,review,Aparece en un contexto CUOC limitado y no como núcleo del cargo; falta evidencia para mantenerlo o descartarlo automáticamente.,0.55,Supervisor de aseadores,Trabajadores de los servicios y vendedores de comercios y mercados,low,1,1,1,FALSE,0,FALSE,FALSE,aseadores,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
astillero,7,4293,1,7,0,0,1,0,1,2,TRUE,review,"Término técnico o sectorial repetido, pero funciona como especialidad, objeto, proceso o contexto y puede cruzar niveles.",0.68,Carpintero astillero | Pintor astillero | Electricista astillero,"Oficiales, operarios, artesanos y trabajadores de ocupaciones afines",medium,3,3,3,FALSE,0,FALSE,FALSE,astillero,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
astrofisico,2,748,1,2,1,1,1,1,1,3,TRUE,keep,Título ocupacional explícito: aparece como denominación independiente y/o como núcleo inicial del cargo.,0.91,Astrofísico,"Profesionales, científicos e intelectuales",high,1,1,1,TRUE,1,FALSE,FALSE,Astrofísico,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE
astrologo,5,3870,1,5,0,0,1,1,1,3,TRUE,keep,Título ocupacional explícito: aparece como denominación independiente y/o como núcleo inicial del cargo.,0.95,Astrólogo | Astrólogo adivinador,Trabajadores de los servicios y vendedores de comercios y mercados,high,2,1,1,TRUE,1,FALSE,FALSE,Astrólogo,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE
astronomo,2,749,1,2,1,1,1,1,1,3,TRUE,keep,Título ocupacional explícito: aparece como denominación independiente y/o como núcleo inicial del cargo.,0.95,Astrónomo | Astrónomo de radio | Físico astrónomo,"Profesionales, científicos e intelectuales",high,3,1,1,TRUE,0.667,FALSE,FALSE,"Astrónomo, astrónomo",TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE
audiologo,2,1557,1,2,1,1,1,1,1,3,TRUE,keep,Título ocupacional explícito: aparece como denominación independiente y/o como núcleo inicial del cargo.,0.95,Audiólogo | Audiólogo clínico | Audiólogo educativo,"Profesionales, científicos e intelectuales",high,7,1,1,TRUE,1,FALSE,FALSE,Audiólogo,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE
audiometrista,2,1560,1,2,1,1,1,1,1,3,TRUE,keep,Título ocupacional explícito: aparece como denominación independiente y/o como núcleo inicial del cargo.,0.91,Audiometrista,"Profesionales, científicos e intelectuales",high,1,1,1,TRUE,1,FALSE,FALSE,Audiometrista,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE
avicultor,6,4159,1,6,0,0,1,1,1,3,TRUE,keep,Título ocupacional explícito: aparece como denominación independiente y/o como núcleo inicial del cargo.,0.91,Avicultor,"Agricultores y trabajadores calificados agropecuarios, forestales y pesqueros",high,1,1,1,TRUE,1,FALSE,FALSE,Avicultor,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE
azafata,5,3778,1,5,1,1,1,1,1,3,TRUE,keep,Título ocupacional explícito: aparece como denominación independiente y/o como núcleo inicial del cargo.,0.95,Azafata | Azafata aerolínea | Azafata de barco,Trabajadores de los servicios y vendedores de comercios y mercados,high,6,2,2,TRUE,1,FALSE,FALSE,Azafata,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE
bacteriologo,2,885,1,2,1,1,1,1,1,3,TRUE,keep,Título ocupacional explícito: aparece como denominación independiente y/o como núcleo inicial del cargo.,0.95,Bacteriólogo | Bacteriólogo de agricultura | Bacteriólogo de alimentos,"Profesionales, científicos e intelectuales",high,12,1,1,TRUE,1,FALSE,FALSE,Bacteriólogo,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE
bailarin,2,2380,1,2,0,1,1,1,1,3,TRUE,keep,Título ocupacional explícito: aparece como denominación independiente y/o como núcleo inicial del cargo.,0.95,Bailarín profesional | Bailarín clásico | Bailarín de ballet,"Profesionales, científicos e intelectuales",high,24,1,2,TRUE,1,FALSE,FALSE,"Bailarin, Bailarín",TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE
bajista,2,2298,1,2,0,0,1,1,1,3,TRUE,keep,Título ocupacional explícito: aparece como denominación independiente y/o como núcleo inicial del cargo.,0.91,Bajista,"Profesionales, científicos e intelectuales",high,1,1,1,TRUE,1,FALSE,FALSE,Bajista,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE
bajonista,2,2301,1,2,0,0,1,1,1,3,TRUE,keep,Título ocupacional explícito: aparece como denominación independiente y/o como núcleo inicial del cargo.,0.91,Bajonista,"Profesionales, científicos e intelectuales",high,1,1,1,TRUE,1,FALSE,FALSE,Bajonista,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE
balsero,6,4187,1,6,0,0,1,1,1,3,TRUE,keep,Núcleo de cargo: encabeza denominaciones CUOC del nivel y tiene forma de título ocupacional.,0.88,Balsero de transporte de troncos,"Agricultores y trabajadores calificados agropecuarios, forestales y pesqueros",high,1,1,1,FALSE,1,FALSE,FALSE,Balsero,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE
barbero,5,3830,1,5,1,1,1,1,1,3,TRUE,keep,Título ocupacional explícito: aparece como denominación independiente y/o como núcleo inicial del cargo.,0.95,Barbero | Peluquero barbero,Trabajadores de los servicios y vendedores de comercios y mercados,high,2,1,1,TRUE,0.5,FALSE,FALSE,"Barbero, barbero",TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE
barista,5,3827,1,5,1,1,1,1,1,3,TRUE,keep,Título ocupacional explícito: aparece como denominación independiente y/o como núcleo inicial del cargo.,0.91,Barista,Trabajadores de los servicios y vendedores de comercios y mercados,high,1,1,1,TRUE,1,FALSE,FALSE,Barista,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE
barman,5,3822,1,5,1,1,1,1,1,3,TRUE,keep,Título ocupacional explícito: aparece como denominación independiente y/o como núcleo inicial del cargo.,0.91,Barman,Trabajadores de los servicios y vendedores de comercios y mercados,high,1,1,1,TRUE,1,FALSE,FALSE,Barman,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE
barnizador,7,4416,1,7,0,0,1,1,1,3,TRUE,keep,Título ocupacional explícito: aparece como denominación independiente y/o como núcleo inicial del cargo.,0.95,Barnizador | Barnizador de metales | Barnizador de productos manufacturados,"Oficiales, operarios, artesanos y trabajadores de ocupaciones afines",high,5,1,1,TRUE,1,FALSE,FALSE,Barnizador,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE
barquero,8,5824,1,8,1,1,1,1,1,3,TRUE,keep,Título ocupacional explícito: aparece como denominación independiente y/o como núcleo inicial del cargo.,0.91,Barquero,Operadores de instalaciones y máquinas y ensambladores,high,1,1,1,TRUE,1,FALSE,FALSE,Barquero,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE
barrendero,9,6000,1,9,0,1,1,1,1,3,TRUE,keep,Título ocupacional explícito: aparece como denominación independiente y/o como núcleo inicial del cargo.,0.95,Barrendero | Barrendero de áreas públicas | Barrendero de calles,Ocupaciones elementales,high,5,1,1,TRUE,0.8,FALSE,FALSE,"Barrendero, barrendero",TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE
bartender,5,3823,1,5,1,1,1,1,1,3,TRUE,keep,Título ocupacional explícito: aparece como denominación independiente y/o como núcleo inicial del cargo.,0.91,Bartender,Trabajadores de los servicios y vendedores de comercios y mercados,high,1,1,1,TRUE,1,FALSE,FALSE,Bartender,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE
basquetbolista,3,3427,1,3,0,0,1,1,1,3,TRUE,keep,Título ocupacional explícito: aparece como denominación independiente y/o como núcleo inicial del cargo.,0.91,Basquetbolista,Técnicos y profesionales de nivel medio,high,1,1,1,TRUE,1,FALSE,FALSE,Basquetbolista,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE
baterista,2,2303,1,2,0,1,1,1,1,3,TRUE,keep,Título ocupacional explícito: aparece como denominación independiente y/o como núcleo inicial del cargo.,0.91,Baterista,"Profesionales, científicos e intelectuales",high,1,1,1,TRUE,1,FALSE,FALSE,Baterista,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE
beisbolista,3,3428,1,3,0,0,1,1,1,3,TRUE,keep,Título ocupacional explícito: aparece como denominación independiente y/o como núcleo inicial del cargo.,0.91,Beisbolista,Técnicos y profesionales de nivel medio,high,1,1,1,TRUE,1,FALSE,FALSE,Beisbolista,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE
bibliografo,2,2054,1,2,0,1,0,1,0,1,TRUE,keep,Título ocupacional explícito: aparece como denominación independiente y/o como núcleo inicial del cargo.,0.91,Bibliógrafo,"Profesionales, científicos e intelectuales",high,1,1,1,TRUE,1,FALSE,FALSE,Bibliógrafo,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE
bibliotecaria,2,2065,1,2,0,1,1,1,1,3,TRUE,review,Aparece en un contexto CUOC limitado y no como núcleo del cargo; falta evidencia para mantenerlo o descartarlo automáticamente.,0.55,Coordinador de cultura bibliotecaria,"Profesionales, científicos e intelectuales",low,1,1,1,FALSE,0,FALSE,FALSE,bibliotecaria,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
bioanalista,2,890,1,2,1,1,1,1,1,3,TRUE,keep,Título ocupacional explícito: aparece como denominación independiente y/o como núcleo inicial del cargo.,0.91,Bioanalista,"Profesionales, científicos e intelectuales",high,1,1,1,TRUE,1,FALSE,FALSE,Bioanalista,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE
bioestadistico,2,864,1,2,1,1,1,1,1,3,TRUE,keep,Título ocupacional explícito: aparece como denominación independiente y/o como núcleo inicial del cargo.,0.91,Bioestadístico,"Profesionales, científicos e intelectuales",high,1,1,1,TRUE,1,FALSE,FALSE,Bioestadístico,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE
biofisico,2,891,1,2,1,1,1,1,1,3,TRUE,keep,Título ocupacional explícito: aparece como denominación independiente y/o como núcleo inicial del cargo.,0.95,Biofísico | Biofísico molecular,"Profesionales, científicos e intelectuales",high,2,1,1,TRUE,1,FALSE,FALSE,Biofísico,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE
bioingeniero,2,1143,1,2,1,1,1,1,1,3,TRUE,keep,Título ocupacional explícito: aparece como denominación independiente y/o como núcleo inicial del cargo.,0.91,Bioingeniero,"Profesionales, científicos e intelectuales",high,1,1,1,TRUE,1,FALSE,FALSE,Bioingeniero,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE
biologo,2,892,1,2,1,1,1,1,1,3,TRUE,keep,Título ocupacional explícito: aparece como denominación independiente y/o como núcleo inicial del cargo.,0.95,Biólogo | Biólogo de genética | Biólogo de hidrobiología,"Profesionales, científicos e intelectuales",high,7,1,1,TRUE,1,FALSE,FALSE,Biólogo,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE
biomedica,3,2625,1,3,1,0,1,1,1,3,TRUE,review,"Término técnico o sectorial repetido, pero funciona como especialidad, objeto, proceso o contexto y puede cruzar niveles.",0.68,Técnico electrónico en biomédica | Técnico mecánico de biomédica,Técnicos y profesionales de nivel medio,medium,2,2,2,FALSE,0,FALSE,FALSE,biomédica,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
biomedico,2,928,1,2,1,1,1,1,1,3,TRUE,review,"Término técnico o sectorial repetido, pero funciona como especialidad, objeto, proceso o contexto y puede cruzar niveles.",0.68,Investigador biomédico | Ingeniero biomédico | Ingeniero de mantenimiento de equipo biomédico,"Profesionales, científicos e intelectuales",medium,3,2,2,FALSE,0,FALSE,FALSE,biomédico,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
biomedicos,3,2626,1,3,1,0,1,1,1,3,TRUE,review,Aparece en un contexto CUOC limitado y no como núcleo del cargo; falta evidencia para mantenerlo o descartarlo automáticamente.,0.55,Tecnólogo equipos biomédicos,Técnicos y profesionales de nivel medio,low,1,1,1,FALSE,0,FALSE,FALSE,biomédicos,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
biometrista,2,865,1,2,1,1,1,1,1,3,TRUE,keep,Título ocupacional explícito: aparece como denominación independiente y/o como núcleo inicial del cargo.,0.91,Biometrista,"Profesionales, científicos e intelectuales",high,1,1,1,TRUE,1,FALSE,FALSE,Biometrista,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE
bionergetico,2,1495,1,2,0,0,1,1,1,3,TRUE,review,Aparece en un contexto CUOC limitado y no como núcleo del cargo; falta evidencia para mantenerlo o descartarlo automáticamente.,0.55,Terapeuta bionergético,"Profesionales, científicos e intelectuales",low,1,1,1,FALSE,0,FALSE,FALSE,bionergético,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
bioquimico,2,896,1,2,1,1,1,1,1,3,TRUE,keep,Título ocupacional explícito: aparece como denominación independiente y/o como núcleo inicial del cargo.,0.91,Bioquímico,"Profesionales, científicos e intelectuales",high,1,1,1,TRUE,1,FALSE,FALSE,Bioquímico,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE
biotecnologia,2,1144,1,2,1,0,1,0,1,2,TRUE,review,Aparece en un contexto CUOC limitado y no como núcleo del cargo; falta evidencia para mantenerlo o descartarlo automáticamente.,0.55,Ingeniero de biotecnología,"Profesionales, científicos e intelectuales",low,1,1,1,FALSE,0,FALSE,FALSE,biotecnología,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
