CuocCode,Level1,Descripcion,Nombre,Primario
13210,1,"Planean, coordinan y controlan las operaciones relacionadas con la producción de bienes y servicios y la distribución de servicios públicos, así como la recolección, el tratamiento, aprovechamiento y disposición final de residuos. Estableciendo los controles de inventarios y variables operacionales, indicadores de producción, centro de costos, dirección del grupo de trabajadores a su cargo en la utilización racional de los recursos necesarios para el desarrollo de sus actividades y el cumplimiento de normas de higiene y seguridad laboral, calidad del producto, innovación y sostenibilidad ambiental. Ya sea como director de un departamento o como el gerente general de una empresa u organización que no cuenta con una estructura jerarquizada de directivos. Se pueden desempeñar en empresas de manufactura, empresas de transformación de materias primas, entre otros.",Directores y gerentes de industrias manufactureras,1321
13220,1,"Planean, dirigen y coordinan las actividades de minería y explotación de canteras, perforación, producción y mantenimiento de pozos de petróleo y gas. Ya sea como directores de un departamento o como el gerente general de una empresa u organización que no tiene una estructura jerarquizada de directivos. Se pueden desempeñar en empresa de compañías mineras, canteras, empresas exploradoras de hidrocarburos, entre otros.",Directores y gerentes de producción primaria (excepto agricultura),1322
13230,1,"Planean, organizan, dirigen y controlan empresas de construcción de edificios, viviendas y proyectos de ingeniería civil, administran proyectos de construcción y remodelación, conforme a programación, especificaciones y presupuestos, ya sea como director de un departamento o como el gerente general de una empresa u organización que no tiene una estructura jerarquizada de directivos. Se pueden desempeñar en empresas de construcción residencial, industrial y comercial y por departamentos de construcción en empresas de la construcción, entre otros.",Directores y gerentes de empresas de construcción,1323
13241,1,"Planean, organizan, dirigen y controlan las actividades de compras y adquisiciones de una empresa u organización; desarrollan e implementan políticas de compras. Ya sea como director de un departamento o como el gerente general de una empresa u organización que no cuenta con una estructura jerarquizada de directivos. Se pueden desempeñar en abastecimiento, distribución, entre otros.",Directores y gerentes de compras y adquisiciones,1324
13242,1,"Planean, organizan, dirigen y controlan las actividades en establecimientos que ofrecen servicios de correo, encomiendas y courier, ya sea como director de un departamento o como el gerente general de una empresa u organización que no cuenta con una estructura jerarquizada de directivos, Se pueden desempeñar en empresas de servicios de correo, mensajería, entre otros.",Directores y gerentes de servicios de correo y mensajería,1324
13243,1,"Planean, organizan, dirigen y controlan las operaciones de transporte, almacenamiento, distribución y movimiento de bienes; Ya sea como director de un departamento o como el gerente general de una empresa u organización que no cuenta con una estructura jerarquizada de directivos. Se pueden desempeñar en empresas de transporte, despacho y embarque de carga, departamentos de transporte de empresas manufactureras, comercio al por mayor y al por menor, entre otros.","Directores y gerentes de transporte, distribución y logística",1324
13244,1,"Planean, organizan, dirigen y controlan las actividades relacionadas con los eslabones de la cadena de suministro y colaboran entre las empresas de los diferentes sectores productivos; ya sea como director de un departamento o como el gerente general de una empresa u organización que no cuenta con una estructura jerarquizada de directivos. Se pueden desempeñar en empresas de transporte, despacho y embarque de carga, departamentos de transporte de empresas manufactureras, comercio al por mayor y al por menor, entre otros.",Directores y gerentes de cadena de suministro,1324
13301,1,"Planean, dirigen y coordinan las políticas, planes, programas, mantenimiento y utilización de telecomunicaciones para cumplir objetivos y metas propuestas, ya sea como director de un departamento o como el gerente general de una empresa u organización que no tiene una estructura jerarquizada de directivos. Se pueden desempeñar en empresas prestadoras de servicios, operadoras o todas aquellas que requieran infraestructura de telecomunicaciones, entre otros.",Directores y gerentes de telecomunicaciones,1330
13302,1,"Planean, dirigen y coordinan los recursos y actividades de sistemas de información; Formulan y definen estrategias para cumplir objetivos y metas propuestas; ya sea como director de un departamento o como el gerente general de una empresa u organización que no tiene una estructura jerarquizada de directivos. Se pueden desempeñar en departamentos y empresas de procesamiento electrónico de datos, servicios de BPO, entre otros.",Directores y gerentes de sistemas de información y procesamiento de datos,1330
13303,1,"Planean, dirigen y coordinan actividades de edición de teatro, cine, producción de discos, videos, medios de comunicación y a fines; ya sea como director de un departamento o como el gerente general de una empresa u organización que no tiene una estructura jerarquizada de directivos. Se pueden desempeñar en empresas de radio y televisión, compañías de cine, teatro, grabación, entre otros.",Directores y gerentes de comunicaciones y audiovisuales,1330
13410,1,"Planean, dirigen, coordinan y evalúan la prestación de servicios de cuidados, protección y desarrollo integral de los niños en centros de atención integral y otros establecimientos que los acogen antes y después de la escuela, durante las vacaciones y durante el día. Se pueden desempeñar en centros de cuidado, protección y desarrollo integral infantiles, espacios habitacionales, jardines o guarderías, entre otros.",Directores y gerentes de servicios de cuidados infantiles,1341
13420,1,"Planean, evalúan, dirigen y controlan integralmente las actividades y sistemas de prestación de servicios de salud dentro de una institución, organización, centro o departamento. Se pueden desempeñar en hospitales, clínicas, centros médicos, EPS, IPS, organismos de salud pública, entre otros.",Directores y gerentes de servicios de salud,1342
13430,1,"Planean, dirigen, coordinan y evalúan la prestación de servicios de atención a personas mayores y familias que requieren servicios relacionados con rutina y autocuidado de la salud física, apoyo emocional-espiritual, desarrollo de habilidades sociales y ocupacionales, así como necesidades de comunicación. Se pueden desempeñar en centros de atención domiciliaria para personas adultas mayores, centros residenciales para personas adultas mayores, geriátricos, centro de jubilados, entre otros.",Directores y gerentes de servicios de atención a personas mayores,1343
13440,1,"Planean, organizan, dirigen y controlan el desarrollo y administración de políticas sociales, programas diseñados para proteger y promover el bienestar de individuos y comunidades; ya sea como director de un departamento o como el gerente general de una empresa u organización que no cuenta con una estructura jerarquizada de directivos. Se pueden desempeñar en instituciones de detención y correccionales, departamentos de consejería, organizaciones no gubernamentales, entre otros.","Directores y gerentes de servicios de bienestar social, comunitario y correccional",1344
13451,1,"Planean, dirigen, coordinan, controlan y evalúan el desarrollo de políticas y programas de educación básica primaria, secundaria, media y formación para el trabajo y superior. Se pueden desempeñar en el gobierno, entidades públicas, centros de enseñanza primaria y secundaria, facultades, departamentos en universidades, entre otros.",Directores y gerentes de programas de política educativa,1345
13452,1,"Planean, dirigen, coordinan y evalúan las actividades curriculares, académicas y de apoyo al proceso de educación superior y educación para el trabajo. Desarrollan los procesos y procedimientos relacionados con admisión, registro y actividades académicas. Se pueden desempeñar en universidades, centros de educación superior e institutos de formación profesional y formación para el trabajo, entre otros.",Directores y administradores de educación superior y formación para el trabajo,1345
13453,1,"Planean, dirigen, coordinan y evalúan las actividades de profesores y otro personal de planteles de educación secundaria, básica primaria y preescolar. Se pueden desempeñar en establecimientos de educación públicos y privados, entre otros.",Directores y administradores de educación básica y media,1345
13460,1,"Planean, organizan, dirigen y coordinan actividades de establecimientos o departamentos que prestan servicios financieros y de seguros, tales como líneas y ampliación de crédito, fondos de inversión, negocios fiduciarios, pólizas, entre otros. Estos directivos prestan asesoramiento y asistencia a los clientes sobre temas financieros y de seguros. Se pueden desempeñar en bancos, sociedades de crédito hipotecario, cooperativas de crédito, compañías de seguros, entre otros.","Directores y gerentes de sucursales de bancos, de servicios financieros y de seguros",1346
13491,1,"Planean, organizan, dirigen y controlan las actividades del servicio de gestión documental, bibliotecas, museos, galerías de arte dentro de una institución o departamento de acuerdo con políticas internas y normativa vigente. Catalogan y conservan las colecciones de la biblioteca y suministran servicios de asesoría a los usuarios, generan contenidos, estructuran y participan en actividades de mercadeo, promoción y fomento a la lectura, desarrollan funciones administrativas vinculadas a procesos de recopilación y preservación del patrimonio documental institucional. Se pueden desempeñar en bibliotecas, museos, galerías de arte, departamentos de archivos, entre otros.","Directores y gerentes de archivo, biblioteca, museo y galería de arte",1349
13492,1,"Planean, organizan, dirigen y controlan actividades involucradas en la prestación del servicio en el contexto de procesos de negocio, evalúan tendencias de la industria y riesgos aplicables al negocio, ya sea como director de un departamento o como el gerente general de una empresa u organización que no cuenta con una estructura jerarquizada de directivos. Se pueden desempeñar en empresas de consultoría, entre otros.",Directores y gerentes de servicios y procesos de negocio,1349
13499,1,"Planean, organizan, dirigen y controlan las operaciones que proveen servicios no clasificados anteriormente como: consultoría administrativa y jurídica, servicios penitenciarios, servicios estadísticos, entre otros. Se pueden desempeñar en notarías, empresas de servicios de consultoría, sector público, entre otros.",Directores y gerentes de servicios profesionales no clasificados en otras ocupaciones,1349
14110,1,"Planean, organizan, dirigen y coordinan las actividades de establecimientos hoteleros, moteles y establecimientos similares que ofrecen alojamiento de huéspedes y otros servicios, ya sea como director de un departamento o como el gerente general de una empresa u organización que no cuenta con una estructura jerarquizada de directivos. Se pueden desempeñar en hoteles, moteles, hosterías, residencias estudiantiles, entre otros.",Directores y gerentes de servicios hoteleros y hospedaje,1411
14120,1,"Planean, organizan, dirigen y supervisan actividades de establecimientos que ofrecen servicios de alimentos y bebidas; coordinan actividades del personal y cumplen con las normas sanitarias y de higiene. Se pueden desempeñar en establecimientos de servicio de alimentos y bebidas, restaurantes, hospitales, hoteles, clubes, entre otros.",Gerentes y administradores de servicios de alimentos y restaurantes,1412
14200,1,"Planean, organizan, coordinan y controlan las actividades en establecimientos que venden productos sobre una base al por mayor o al por menor; son responsables de los presupuestos, dotación de personal, dirección estratégica y operativa de comercio, ya sea como director de un administrador, departamento o como el gerente general de una empresa u organización que no cuenta con una estructura jerarquizada de directivos. Se pueden desempeñar en unidades organizativas dentro de comercios, comercio al por mayor y al por menor, entre otros.",Gerentes de comercios al por mayor y al por menor,1420
14311,1,"Planean, organizan, dirigen y controlan actividades y producciones de artes escénicas, culturales, música, cine, teatro, actuaciones de bandas y orquestas entre otros. Están al día con las nuevas tendencias y avances en las artes creativas y culturales. Se pueden desempeñar en compañías de cine, teatro, sector público, entre otros.","Directores y gerentes de empresas de música, artes escénicas y cultura",1431
14312,1,"Planean, organizan, administran y evalúan las actividades de los establecimientos que proporcionan servicios deportivos, actividad física, recreativos y de esparcimiento. Asesoran y promueven los servicios disponibles, estrategias de mercadeo y contratos de publicidad de eventos, espectáculos y actividades de recreación, deporte y acondicionamiento físico. Se pueden desempeñar en organizaciones deportivas estatales y privadas, entre otros.",Directores y gerentes de esparcimiento y deportes,1431
14391,1,"Planifican, dirigen, representan y coordinan la prestación de servicios de administración y gestión de la propiedad horizontal, contratan y supervisan servicios de seguridad, mantenimiento, aseo, entre otros de acuerdo con normas técnicas y legales. Se pueden desempeñar empresas de administración de propiedad horizontal, entre otros.",Gerentes y administradores de propiedad horizontal,1439
14399,1,"Planean, organizan, dirigen y controlan las actividades de establecimientos que proveen servicios no clasificados anteriormente como son los gerentes de agencias de viajes, centros de conferencias, gerente escuela de conducción, centros de contacto y centros comerciales. Se pueden desempeñar en empresas de aeropuertos, puertos, centros comerciales, de convenciones, escuelas de conducción, modelaje, entre otros.",Otros gerentes y administradores de servicios no clasificados en otras ocupaciones,1439
21110,2,"Dirigen, realizan investigaciones teóricas y aplicadas, desarrollan conceptos, instrumentos, software y métodos operacionales relativos a la materia, espacio, tiempo, energía, fuerzas y campos, y la interrelación entre estos fenómenos físicos en actividades como: la electrónica, comunicaciones, generación y distribución de energía, aerodinámica, óptica, rayos láser, medicina y salud, y la astronomía. Se pueden desempeñar en empresas de fabricación eléctrica, electrónica, universidades, compañías de telecomunicaciones, laboratorios, firmas consultoras y de investigación científica, entre otros.",Físicos y astrónomos,2111
21120,2,"Analizan, preparan pronósticos meteorológicos y dirigen investigaciones relacionadas con el estado del tiempo, cambios y fenómenos climáticos y atmosféricos en su composición, estructura y dinámica. Se pueden desempeñar en entidades del gobierno, empresas de aviación, instituciones meteorológicas, medios de comunicación, entre otros.",Meteorólogos,2112
21130,2,"Investigan, mejoran y/o desarrollan conceptos, teorías y métodos operacionales, aplican los conocimientos científicos relacionados con la química como apoyo a las operaciones industriales, innovación de nuevos compuestos químicos, materiales, productos o procesos, así como desarrollan e implementan el control de calidad de productos o procesos, el monitoreo y control del medio ambiente, y otras aplicaciones relacionadas con la química. Se pueden desempeñar en laboratorios de control de calidad, investigación y desarrollo, industrias químicas, petroquímicas, industrias y laboratorios de alimentos, industrias de procesamiento de metales, de minerales metálicos y no metálicos y otras empresas relacionadas, establecimientos del gobierno, servicios públicos, entre otros.",Químicos,2113
21141,2,"Dirigen y participan en estudios, perfeccionan y desarrollan conceptos, teorías y métodos operacionales relacionados con las estructuras, composición, evolución y constitución física del globo terrestre, incluidas la atmósfera e hidrosfera, localizan e identifican los recursos de hidrocarburos, minerales y aguas subterráneas; apoyan en la planeación e implementan programas de exploración y extracción de hidrocarburos y minerales, evalúan el desarrollo de proyectos de eliminación y disposición de residuos y sus efectos en el medio ambiente. Se pueden desempeñar en empresas petroleras y mineras, firmas geofísicas y de ingeniería e instituciones del gobierno y educativas, entre otros.","Geólogos, geofísicos y geoquímicos",2114
21142,2,"Estudian la naturaleza de las gemas, observan y analizan las propiedades físicas y ópticas de las gemas naturales, sintéticas e imitaciones y reconocen los diferentes fenómenos gemológicos, analizan sus cualidades para sus diferentes usos. Identifican y emiten concepto gemológico con base en la graduación de las gemas. Se pueden desempeñar en organismos gubernamentales, empresas extractoras de minerales, aseguradoras, empresas de comercialización de gemas y joyas, diseño de gemas y joyas, capacitación, laboratorios especializados, museos, joyerías, casas de subastas, entre otros.",Gemólogos,2114
21143,2,"Identifican, analizan, evalúan y generan información de los procesos físicos, químicos, biológicos y geológicos del océano y su relación con la sociedad, las actividades marítimas, el medio ambiente, la atmósfera y zona costera a través de actividades científicas, administrativas, organizativas o asesoría experta. Se pueden desempeñar en firmas consultoras de medio ambiente, geofísicas y de ingeniería costera, marina, marítima, portuaria y fluvial, empresas de energía, ingeniería civil, petroleras y mineras, instituciones del gobierno, empresas de investigación, innovación y desarrollo, entre otros",Oceanógrafos,2114
21200,2,"Investigan, perfeccionan o desarrollan conceptos, teorías y métodos operacionales y técnicas matemáticas, actuariales y estadísticas, y asesoran o participan en su aplicación práctica en campos como la ingeniería, empresariales y sociales, Entre otros ciencias, actualizan y mejoran la metodología estadística relacionada con la recolección, organización, análisis e interpretación de datos expresados en forma cuantitativa; aplican técnicas para resolver problemas en campos científicos; trabajan en su aplicación práctica o en el asesoramiento pertinente en la medicina, la ingeniería, la agricultura, la industria, la banca, el comercio y en otros campos técnicos; aplican los conocimientos en matemáticas, estadística y asuntos financieros al establecimiento y gestión de sistemas de pensiones y de seguros de vida, enfermedad, accidentes y demás análisis de riesgo. Se pueden desempeñar en universidades, bancos y fiduciarias, compañías de seguros, firmas consultoras y de ingeniería, entre otros.","Matemáticos, actuarios y estadísticos",2120
21310,2,"Estudian, participan y conducen investigaciones de los organismos vivos, sus interacciones entre sí y con el medio ambiente y aplican estos conocimientos a la solución de los problemas de la salud humana, el medio ambiente, desarrollo de nuevas prácticas y productos. Trabajan en diversos campos como la botánica, zoología, ecología, biología marina, genética, inmunología, farmacología, toxicología, fisiología, bacteriología y virología, los cuales son aplicables especialmente en áreas como la medicina, agricultura, silvicultura y ganadería. Se pueden desempeñar en laboratorios, bancos de la salud, empresas de consultoría ambiental, empresas de servicios, firmas químicas, farmacéuticas, genética, veterinaria, biotécnicas, empresas de alimentos, suelos, instituciones educativas y de salud, entre otros.","Biólogos, botánicos, zoólogos y afines",2131
21321,2,"Investigan, estudian y suministran asesoría, asistencia, consultoría y técnicas sobre diversos aspectos de la planificación de la producción, explotación, gestión de las unidades productivas, de tecnología y de recursos agropecuarios y ambientales, cultivos, manejo de praderas, fertilización, cosecha, postcosecha, agroindustria, manejo integrado del suelo, prevención de plagas, enfermedades y arvenses; nutrición, mejoramiento de la producción, comercialización de los productos y derivados, entre otras prácticas de manejo. Se pueden desempeñar en fincas, empresas rurales, agroindustrias, firmas de consultoría, entidades del gobierno para asistir a la comunidad agropecuaria, empresas agrícolas, entre otros.","Agrónomos, agrícolas, pecuarios y zootecnistas",2132
21322,2,"Conducen, desarrollan, prestan asistencia y asesoramiento en programas, planes e investigaciones relacionados con técnicas para aumentar la productividad, prevención de enfermedades, explotación y políticas de gestión de recursos forestales y tierras, viverismo, erosión del suelo y su composición; comercialización de la producción forestal. Se pueden desempeñar en empresas forestales, de consultoría ambiental, fincas, instituciones educativas, entidades del gobierno, entre otros.",Silvicultores y forestales,2132
21323,2,"Diagnostican, recomiendan, actualizan, capacitan, facilitan, asisten y proporcionan acompañamiento en la generación de competencias a los productores rurales, para que incorporen en sus actividades productivas prácticas, productos tecnológicos, tecnologías, conocimientos y comportamientos que beneficien el desempeño agropecuario, el entorno, la competitividad y sostenibilidad en pro de la seguridad alimentaria; propician la adopción de nuevas prácticas y conocimientos en la mejora de su desempeño. Se pueden desempeñar en fincas, empresas prestadoras del servicio de extensión agropecuaria, entidades del gobierno y organismos internacionales, organizaciones para asistir a la comunidad agropecuaria, empresas agrícolas, entre otros.",Extensionistas agropecuarios,2132
21331,2,"Estudian, formulan, supervisan, orientan, administran y evalúan los efectos sobre el medio ambiente que ejercen las actividades humanas como la contaminación del aire, agua y ruido, la contaminación del suelo, el cambio climático, la generación de residuos tóxicos y el agotamiento y la degradación de los recursos naturales; ejercen autoridad, representan e influencian en el sistema ambiental mediante el desarrollo de planes y políticas que buscan soluciones para proteger, conservar, restaurar, minimizar y prevenir mayores daños al medio ambiente. Se pueden desempeñar en entidades gubernamentales, organizaciones públicas y privadas, comunidades y entes territoriales, firmas de consultoría, investigación, entre otros.",Profesionales ambientales y ecologistas,2133
21332,2,"Planean, dirigen, organizan, evalúan, formulan, vigilan y ejecutan políticas, estrategias, planes, programas y proyectos de gestión del riesgo de desastres, a través de procesos de conocimiento, reducción de riesgos y manejo de desastres, emergencias y procesos de recuperación. Se pueden desempeñar en entidades públicas territoriales y nacionales, organizaciones privadas, entre otros.",Profesionales en gestión de riesgo de desastres,2133
21410,2,"Dirigen e implementan investigaciones y estudios, diseñan, desarrollan, organizan, supervisan y controlan la operación y mantenimiento de los procesos e instalaciones para lograr eficiencia en la fabricación, producción industrial, optimización del recurso humano, la maquinaria y materiales; establecen programas para coordinar las actividades de fabricación, evaluando la rentabilidad y su nivel de seguridad y calidad. Se pueden desempeñar en firmas consultoras, empresas servicios, de fabricación y procesamiento, financieras, de salud, organizaciones del sector público o privado, entre otros.",Ingenieros industriales y de producción,2141
